"","gene","term","estimate","statistic","p.value","lod","fdr"
"1","204822_at","sensitive",-1.65805773985052,-15.3214474343968,7.58512918906958e-08,7.76270478653062,0.00225948746405679
"2","209891_at","sensitive",-1.59150469463656,-15.1736544288391,8.26515761886342e-08,7.70561254743929,0.00225948746405679
"3","219493_at","sensitive",-1.38341498749293,-13.9139102716899,1.77622167369393e-07,7.17862052851949,0.00299613337030875
"4","218755_at","sensitive",-1.54367262237301,-13.4628018738853,2.37268948283045e-07,6.9707893195567,0.00299613337030875
"5","1554696_s_at","sensitive",-1.10295799168869,-13.2435837949099,2.73994821244513e-07,6.86581956457827,0.00299613337030875
"6","201291_s_at","sensitive",-1.51656374844723,-12.527783165047,4.45221198365884e-07,6.50376077803489,0.00386043398010981
"7","203145_at","sensitive",-1.07229880423523,-12.3783921061995,4.94248520544466e-07,6.42427437173016,0.00386043398010981
"8","209464_at","sensitive",-1.40214854675635,-11.7572306411148,7.72689521576557e-07,6.07818831520846,0.00405953067137149
"9","209642_at","sensitive",-1.39502056333155,-11.5818488732913,8.79929068028414e-07,5.97571378046012,0.00405953067137149
"10","203213_at","sensitive",-1.32686630868467,-11.4388303093037,9.79573609732241e-07,5.89052653038447,0.00405953067137149
"11","213007_at","sensitive",-1.13832244716834,-11.3958274687731,1.011919662195e-06,5.86462242262816,0.00405953067137149
"12","229305_at","sensitive",-1.11266060994493,-11.3481283063377,1.04918182285364e-06,5.83573072042505,0.00405953067137149
"13","208079_s_at","sensitive",-1.09563969067918,-11.176875436668,1.19596105385951e-06,5.73060944328026,0.00405953067137149
"14","218308_at","sensitive",-1.1258601348956,-11.1752834458437,1.19742755956849e-06,5.72962189420979,0.00405953067137149
"15","228729_at","sensitive",-1.17615070948732,-11.1350096278201,1.23519398116563e-06,5.70457517059107,0.00405953067137149
"16","210983_s_at","sensitive",-0.932847643203141,-11.1307952891232,1.23922118333471e-06,5.70194710253385,0.00405953067137149
"17","241772_at","sensitive",1.0599809447617,11.1070106639593,1.26222261386951e-06,5.68708958178485,0.00405953067137149
"18","203358_s_at","sensitive",-1.86621043863957,-11.0160474274708,1.35463077700305e-06,5.6298673597374,0.00406676342399227
"19","210334_x_at","sensitive",-1.00117424214399,-10.8840352587962,1.50227206672738e-06,5.54567998459939,0.00406676342399227
"20","204127_at","sensitive",-0.910072525644384,-10.8483335999383,1.54518466087752e-06,5.52267681909371,0.00406676342399227
"21","204709_s_at","sensitive",-1.24450251246839,-10.8157861966509,1.58548456489192e-06,5.50161782668771,0.00406676342399227
"22","206023_at","sensitive",-1.08730009720955,-10.7732627538947,1.63989107906565e-06,5.47397669554542,0.00406676342399227
"23","217010_s_at","sensitive",-1.18490173674213,-10.7201487611183,1.71075553272652e-06,5.43924750478298,0.00406676342399227
"24","212949_at","sensitive",-0.854977781335373,-10.6441519729701,1.81808406457605e-06,5.38915880881098,0.00414182275961232
"25","202589_at","sensitive",-0.931150869566254,-10.5658470734659,1.93648291615357e-06,5.33705460057884,0.00423508813762786
"26","226936_at","sensitive",-1.10572492041576,-10.4663099556455,2.09940688634084e-06,5.27008925929777,0.00427672542441312
"27","228069_at","sensitive",-1.16057733375401,-10.4589945061621,2.11196317254969e-06,5.26513499219674,0.00427672542441312
"28","213647_at","sensitive",-0.816233108056858,-10.2970692227491,2.41218750027117e-06,5.15431320187717,0.00452486853861476
"29","205394_at","sensitive",-1.094497913937,-10.2299196144734,2.55021929126913e-06,5.10769691299848,0.00452486853861476
"30","204033_at","sensitive",-0.926255846009192,-10.2113771115589,2.58985030995023e-06,5.09475551408373,0.00452486853861476
"31","201292_at","sensitive",-1.33307386309072,-10.1622838659094,2.69808904982526e-06,5.06034682912034,0.00452486853861476
"32","203214_x_at","sensitive",-1.32206527063758,-10.1584208047717,2.70681509459207e-06,5.05763030799172,0.00452486853861476
"33","208795_s_at","sensitive",-0.896723559968382,-10.1477593361856,2.73105920026131e-06,5.05012631239211,0.00452486853861476
"34","216237_s_at","sensitive",-0.86942733779923,-10.0308778972891,3.01310387100146e-06,4.96720079520474,0.00465556792475295
"35","220651_s_at","sensitive",-1.00829826941008,-9.97869439377092,3.14924967332475e-06,4.92978373144801,0.00465556792475295
"36","235572_at","sensitive",-0.833422925228813,-9.95995034759542,3.19979300456115e-06,4.9162838365266,0.00465556792475295
"37","203856_at","sensitive",-0.940544254671918,-9.92186905210899,3.30524986727664e-06,4.88875881991392,0.00465556792475295
"38","213906_at","sensitive",-0.934766702542479,-9.91632217700273,3.32092705930675e-06,4.88473856771616,0.00465556792475295
"39","203764_at","sensitive",-1.41009866832327,-9.91093145706122,3.33624130869106e-06,4.88082880877711,0.00465556792475295
"40","228323_at","sensitive",-1.35144045177157,-9.8867176415969,3.40599390928428e-06,4.86323441881329,0.00465556792475295
"41","227928_at","sensitive",-0.811800877480372,-9.74053876374406,3.86271439805036e-06,4.75587110181202,0.0051510709686196
"42","204092_s_at","sensitive",-0.894181370909977,-9.64021729475959,4.21500413837991e-06,4.68103544583083,0.00548703217299814
"43","212022_s_at","sensitive",-0.811797289834474,-9.54963807615814,4.56359663834684e-06,4.61264736979481,0.005606040171858
