"","gene","term","estimate","statistic","p.value","lod","fdr"
"1","200771_at","sensitive",1.59235470352767,20.1036373226143,4.26364286718594e-08,8.22855125970454,0.00233114673763392
"2","218007_s_at","sensitive",0.846631179894591,14.4069492635514,5.63923713789359e-07,6.47779219772013,0.00389125458011258
"3","212871_at","sensitive",-0.806763209930916,-14.3746020212908,5.73743117466727e-07,6.46463540057809,0.00389125458011258
"4","202016_at","sensitive",-0.939313055056134,-14.1632226423203,6.4283576753823e-07,6.3775247315682,0.00389125458011258
"5","222476_at","sensitive",-1.12323487426772,-14.1219521528085,6.57387988562501e-07,6.36028430064416,0.00389125458011258
"6","206457_s_at","sensitive",0.791108938892739,14.0652773443001,6.77977623252382e-07,6.33648328911439,0.00389125458011258
"7","209092_s_at","sensitive",-0.889211227760126,-14.0576645188433,6.807980083081e-07,6.33327510530053,0.00389125458011258
"8","225297_at","sensitive",-0.762880141660941,-13.9005759117778,7.42036285791149e-07,6.26648139154928,0.00389125458011258
"9","220526_s_at","sensitive",-0.836210117796699,-13.85136767136,7.62471723904422e-07,6.24532298585423,0.00389125458011258
"10","224779_s_at","sensitive",-0.743819465208021,-13.8230018059765,7.74537931843857e-07,6.23307480758749,0.00389125458011258
"11","226529_at","sensitive",0.918432815980036,13.8036858862428,7.82877007430058e-07,6.2247126771498,0.00389125458011258
"12","209900_s_at","sensitive",0.978377435894464,13.4404435002635,9.60056677187351e-07,6.06413195657355,0.00407742862926208
"13","217957_at","sensitive",-0.795611448472814,-13.4232684672766,9.69484630643019e-07,6.05637997551845,0.00407742862926208
"14","224800_at","sensitive",1.3400131419306,12.98012976533,1.25260095159961e-06,5.85120603689761,0.00435392727103236
"15","227197_at","sensitive",1.10778427973967,12.9000098087166,1.31311672943038e-06,5.81302292210935,0.00435392727103236
"16","226041_at","sensitive",1.00790565416533,12.7740951868146,1.41495683811805e-06,5.75232213012111,0.00435392727103236
