"","gene","term","estimate","statistic","p.value","lod","fdr"
"1","212871_at","sensitive",-0.705357613542021,-13.7564005107604,4.06435933699125e-10,12.815021906233,1.75906020868094e-05
"2","217957_at","sensitive",-0.718528700078077,-13.2242339917238,7.17219745738837e-10,12.3514951749791,1.75906020868094e-05
"3","200783_s_at","sensitive",-0.670099032020743,-12.8547659461981,1.07621204210704e-09,12.0157448441992,1.75906020868094e-05
"4","218611_at","sensitive",-0.797986619404302,-12.6947518953534,1.28692104887495e-09,11.8666460077337,1.75906020868094e-05
"5","225297_at","sensitive",-0.758082741701211,-11.2698970451238,6.9041964969757e-09,10.433144034992,6.2914490578691e-05
"6","201565_s_at","sensitive",-0.783863071485928,-11.1437566155742,8.07660991795429e-09,10.296461359576,6.30840924663073e-05
"7","205548_s_at","sensitive",-0.641392082204719,-10.2386952991272,2.59720318125101e-08,9.26468051957777,0.000157780093260999
"8","201687_s_at","sensitive",-0.593780453863992,-9.968934204881,3.73536634052857e-08,8.93895846884359,0.000171089891593917
"9","202224_at","sensitive",-0.60132462694948,-9.73018198442393,5.18443889145459e-08,8.64334810369847,0.000171089891593917
"10","203358_s_at","sensitive",-1.54901900496912,-9.71079103687176,5.3257104844352e-08,8.61903139639026,0.000171089891593917
"11","200608_s_at","sensitive",-0.623661073056521,-9.7053611612591,5.3659929086055e-08,8.61221383850974,0.000171089891593917
"12","213134_x_at","sensitive",-0.606560538993856,-9.41022717485985,8.12028806115008e-08,8.23608710837894,0.000171089891593917
"13","224779_s_at","sensitive",-0.643740113067364,-9.38140328834963,8.45982498317454e-08,8.19876052961201,0.000171089891593917
"14","217492_s_at","sensitive",-0.587283013256781,-9.30935579861237,9.37564244512121e-08,8.10499247215315,0.000171089891593917
"15","227628_at","sensitive",-0.595896134878814,-9.26342952654511,1.00134915976321e-07,8.04487034648301,0.000171089891593917
"16","217970_s_at","sensitive",-0.79982260698963,-9.19457211435847,1.1056869088905e-07,7.9542150190093,0.000172724090695966
"17","209092_s_at","sensitive",-0.7506844978302,-9.07335055637809,1.31817399295615e-07,7.79310866262541,0.000181063361150827
"18","1555733_s_at","sensitive",-0.708209359684203,-9.04761082228558,1.36859509820966e-07,7.75865027160889,0.000182507163401495
"19","222476_at","sensitive",-0.882475850565109,-8.9977039298382,1.47223225160882e-07,7.69158797801122,0.000191653091325505
"20","226965_at","sensitive",-0.735141464453293,-8.96933022834963,1.53480928287175e-07,7.65331285304227,0.0001951527849791
"21","214157_at","sensitive",-0.681454612166613,-8.85840990355564,1.8076341914149e-07,7.50264943052021,0.000210281700884276
"22","218197_s_at","sensitive",-0.753466917582163,-8.67991471889269,2.35914374437912e-07,7.25670123810032,0.00023502100199565
"23","206055_s_at","sensitive",-0.670658901443911,-8.55886820775315,2.83206547812105e-07,7.0874257586506,0.000262446067824183
"24","1560116_a_at","sensitive",-0.627992458759883,-8.5208192432117,3.00055470583234e-07,7.03379765357549,0.000264605368615134
"25","222392_x_at","sensitive",-0.610629021087603,-8.45942996794972,3.29499341393491e-07,6.94684715074965,0.000281490257667017
"26","1558233_s_at","sensitive",-0.653213550490244,-8.37735904822374,3.73689911630331e-07,6.82977886465451,0.000296108636498382
"27","224206_x_at","sensitive",-0.703437928486805,-8.235487445805,4.65407074737028e-07,6.6251660368066,0.000326971202804248
"28","209735_at","sensitive",-0.814353656960226,-8.10207827733716,5.73390215480721e-07,6.43014018212184,0.000373215595612005
"29","1555731_a_at","sensitive",-0.718733464254444,-7.95130508984114,7.27817590412596e-07,6.2066427254113,0.000427886309202244
"30","238469_at","sensitive",-0.772609564628396,-7.90492090439969,7.83674937777199e-07,6.13722111956191,0.000434752349942259
"31","217744_s_at","sensitive",-0.670772539162281,-7.8828791961948,8.11778878776598e-07,6.10412192333581,0.000434752349942259
"32","220526_s_at","sensitive",-0.689447593463595,-7.87447803689515,8.22767365710172e-07,6.09148751289751,0.000434752349942259
"33","225662_at","sensitive",-0.769487785209148,-7.85581797360958,8.47736493605278e-07,6.06338787140033,0.000437264082904421
"34","230030_at","sensitive",-0.693956449035191,-7.71554399231217,1.06287897438374e-06,5.85051477743317,0.000476335310855993
"35","235030_at","sensitive",-0.63060707481371,-7.62978003965552,1.22202390558711e-06,5.71893128231694,0.000516061024061557
"36","201064_s_at","sensitive",-0.596389585828417,-7.32221242751566,2.03151317661714e-06,5.23801601046272,0.0006796153389169
"37","225363_at","sensitive",-0.690939366145018,-7.19442700838349,2.5184188846857e-06,5.03402181599688,0.000795922268902837
"38","222103_at","sensitive",-0.634326194514901,-7.05610232885718,3.18567873146718e-06,4.81041050210555,0.000921571347317293
