"","gene","term","estimate","statistic","p.value","lod","fdr"
"1","206457_s_at","sensitive",0.870173423627254,12.1482151463894,2.40476047716083e-09,11.3398899178322,2.62960558177537e-05
"2","213295_at","sensitive",0.733103445061934,10.8156747283817,1.22260635671812e-08,9.93297779231523,8.35575031919538e-05
"3","200821_at","sensitive",1.51279598958758,9.71673241304926,5.28199853366109e-08,8.62648698070769,0.000171089891593917
"4","218361_at","sensitive",0.68635999679875,9.63251162843414,5.93863107874578e-08,8.52039141195028,0.000171089891593917
"5","226147_s_at","sensitive",0.87257415933331,9.43533212067689,7.83625856350002e-08,8.26851099061756,0.000171089891593917
"6","226529_at","sensitive",0.783947994827345,9.2165564432015,1.07118307061581e-07,7.98322606154866,0.00017225568937035
"7","218204_s_at","sensitive",0.599292565754788,9.14992792322348,1.17940824094468e-07,7.89510671543486,0.000177115673509508
"8","241772_at","sensitive",0.97839957693517,9.12860729264021,1.21642539681588e-07,7.86678613671318,0.000177115673509508
"9","222787_s_at","sensitive",0.817893801854611,8.91952202577035,1.6515279449489e-07,7.58586278015737,0.000201613961305399
"10","209900_s_at","sensitive",0.80532373555135,8.78727237358006,2.00912062663277e-07,7.40514913253817,0.000223938111558586
"11","212119_at","sensitive",0.589052227947498,8.37967823912929,3.72359122082009e-07,6.83310003148961,0.000296108636498382
"12","200771_at","sensitive",1.3048707431744,8.25547269935549,4.5117017185075e-07,6.65416249863626,0.000326971202804248
"13","209154_at","sensitive",0.63663083397026,7.89227556686742,7.99670957091229e-07,6.11824078459161,0.000434752349942259
"14","226789_at","sensitive",0.763266905120453,7.80367434163903,9.21817858223047e-07,5.98459546622306,0.000445110482207436
"15","218007_s_at","sensitive",0.694451500529926,7.72361636193476,1.04906307396744e-06,5.86284371051957,0.000474029120406362
"16","225171_at","sensitive",0.838568705401153,7.63484598433841,1.21196170159757e-06,5.72673405480656,0.000516061024061557
"17","224735_at","sensitive",0.590213816093115,7.62295316755941,1.2357225287141e-06,5.70841022233617,0.000516061024061557
"18","208848_at","sensitive",0.646324594120695,7.48682443832403,1.54528018258993e-06,5.49716816518654,0.000578686260158248
"19","227197_at","sensitive",0.857013892257523,7.22032845798745,2.41067348148069e-06,5.07557021147097,0.000775315132940922
"20","230069_at","sensitive",0.69961576343573,7.08326277788966,3.04138418688967e-06,4.85454686435124,0.000893488439189387
"21","225726_s_at","sensitive",0.821776536424406,6.99824395546377,3.51746188398346e-06,4.71601450938333,0.000967256478748588
"22","224702_at","sensitive",0.598694015054676,6.97371757997356,3.66883517076338e-06,4.67584562206377,0.000993037440403404
"23","225912_at","sensitive",0.755889872554805,6.85926586944287,4.47082308198934e-06,4.48718407561605,0.00109615359644739
"24","212459_x_at","sensitive",0.75558220180226,6.83364136463173,4.67429804104628e-06,4.44467051658117,0.00113415603571205
"25","225727_at","sensitive",0.952280784383343,6.78153147934229,5.11850898753355e-06,4.35790539314422,0.00118616299760223
"26","213027_at","sensitive",0.732287869570949,6.731622023161,5.58542936579997e-06,4.2744146634075,0.0012264391589362
"27","215772_x_at","sensitive",0.690831331201624,6.71786122870802,5.72184090329463e-06,4.251327989168,0.0012414351245541
"28","225173_at","sensitive",0.681117099505683,6.70420004194229,5.86071041680655e-06,4.22837977594758,0.00126121834767233
"29","226806_s_at","sensitive",0.631896004718524,6.6151063670264,6.85712702399852e-06,4.07801916422317,0.00138996974174466
"30","226671_at","sensitive",0.992209426258932,6.28124721741739,1.24705388748921e-05,3.50380298266189,0.00193359095997902
"31","211227_s_at","sensitive",0.750999509074869,6.2434632235476,1.33567313813956e-05,3.43775054393398,0.00201447266484475
"32","226158_at","sensitive",0.859761260318023,6.20787116778786,1.4251592152531e-05,3.3753328333284,0.00208332390264214
"33","212120_at","sensitive",0.848752726001047,6.17760314277092,1.50616720287294e-05,3.32210170425002,0.00213895303420982
"34","209854_s_at","sensitive",0.685438129203961,6.16317358516306,1.54645928640829e-05,3.29667653584099,0.00217734544474982
"35","228697_at","sensitive",0.702533271516194,6.14770075689046,1.59091332015491e-05,3.26937835907153,0.00220769507054492
"36","217964_at","sensitive",0.7378201416388,6.11049347156506,1.70334160580081e-05,3.20358787229432,0.00232549750659853
"37","225411_at","sensitive",0.599121188168441,5.98241494489059,2.1578055207924e-05,2.97553785540346,0.00265959991623184
"38","226041_at","sensitive",0.758784973371955,5.97395346883964,2.19195716500143e-05,2.96038601529772,0.00267226126093197
"39","214835_s_at","sensitive",0.72384214389101,5.92412111540995,2.40481469587738e-05,2.87093759530345,0.00282759663434615
"40","201553_s_at","sensitive",0.587574920858836,5.89061086366491,2.55994213036231e-05,2.81058172148814,0.00293427329093416
"41","204393_s_at","sensitive",1.1897337377678,5.8711077320428,2.65497930891193e-05,2.77537855513453,0.00298572412433033
"42","225603_s_at","sensitive",0.717347775199825,5.84933998468253,2.76539224923913e-05,2.73602213244645,0.00302500824671701
